userId,movieId,rating,timestamp
1,16,4,1217897793
1,24,1.5,1217895807
1,32,4,1217896246
1,47,4,1217896556
1,50,4,1217896523
1,110,4,1217896150
1,150,3,1217895940
1,161,4,1217897864
1,165,3,1217897135
1,204,0.5,1217895786
1,223,4,1217897795
1,256,0.5,1217895764
1,260,4.5,1217895864
1,261,1.5,1217895750
1,277,0.5,1217895772
1,296,4,1217896125
1,318,4,1217895860
1,349,4.5,1217897058
1,356,3,1217896231
1,377,2.5,1217896373
1,380,3,1217896030
1,457,4,1217896015
1,480,3.5,1217895972
1,527,4.5,1217896341
1,589,3.5,1217896078
1,590,3.5,1217896038
1,592,2.5,1217896043
1,593,5,1217895932
1,597,3,1217897176
1,608,3.5,1217896319
1,648,3.5,1217896397
1,719,0.5,1217895799
1,724,3.5,1217895794
1,736,3,1217896621
1,780,3.5,1217895969
1,858,5,1217896428
1,912,5,1217897623
1,968,4.5,1217897263
1,1061,4,1217895811
1,1089,4.5,1217897621
1,1136,5,1217897630
1,1196,4.5,1217896095
1,1198,4,1217896450
1,1210,4.5,1217895912
1,1213,5,1217897617
1,1220,4,1217897823
1,1221,5,1217897613
1,1222,5,1217897625
1,1233,4.5,1217897648
1,1243,3.5,1217897427
1,1258,4.5,1217897678
1,1265,3,1217897107
1,1267,4,1217895768
1,1270,3,1217897006
1,1287,4.5,1217897783
1,1580,3.5,1217896279
1,1617,3.5,1217896636
1,1721,1.5,1217896210
1,1923,1.5,1217897087
1,1961,3,1217897157
1,2021,4,1217895796
1,2028,4.5,1217896291
1,2105,1.5,1217895783
1,2161,1.5,1217895776
1,2194,4.5,1217897671
1,2396,4,1217897010
1,2407,2.5,1217895736
1,2455,2,1217895762
1,2467,4.5,1217897780
1,2502,4,1217897700
1,2542,4.5,1217897667
1,2571,4.5,1217895908
1,2628,3,1217896237
1,2716,3.5,1217896417
1,2728,5,1217897681
1,2762,3,1217896143
1,2858,4,1217896098
1,2947,3.5,1217895742
1,2959,5,1217896334
1,3256,5,1217895803
1,3421,4.5,1217895728
1,3578,4,1217896402
1,4011,4.5,1217897657
1,4027,3.5,1217897174
1,4033,3.5,1217897841
1,4085,3.5,1217897858
1,4262,5,1217897697
1,4306,4,1217895903
